"group","subj","date","time","sample_number","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","stdsg_CP","cp_note","month","year"
"gn","stre",2015-09-29,2022-02-22 11:10:00,98,NA,NA,3,2016-10-28,NA,NA,"",NA,NA,NA,NA,"",9,2015
"tws","dubl",2015-10-13,2022-02-22 15:55:00,171,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"",10,2015
"twn","pam",2015-10-22,2022-02-22 11:38:00,193,NA,NA,4,2016-11-01,NA,NA,"",NA,NA,NA,NA,"",10,2015
"gn","dann",2015-10-23,2022-02-22 09:46:00,197,NA,NA,4,2016-11-01,NA,NA,"",NA,NA,NA,NA,"",10,2015
"gn","mayh",2016-03-10,2022-02-22 12:20:00,523,NA,NA,9,2016-11-04,NA,NA,"",NA,NA,NA,NA,"",3,2016
"tws","atom",2015-08-10,2022-02-22 12:24:00,4,0.92,37,1,2016-10-26,20,1,"11/8/16",6775.61,1,5011.053384,4905.65479,"",8,2015
"twn","keny",2015-08-10,2022-02-22 15:23:00,6,0.79,48,1,2016-10-26,20,1,"11/8/16",6939.76,1,5977.035241,3873.053726,"",8,2015
"gn","renl",2015-08-13,2022-02-22 11:42:00,14,0.72,40,1,2016-10-26,20,1,"11/8/16",7006.71,1,6621.404245,4692.501921,"",8,2015
"gn","pira",2015-08-13,2022-02-22 11:44:00,15,0.92,40,1,2016-10-26,20,1,"11/8/16",12748.5,1,9428.437301,8537.867378,"",8,2015
"tws","burn",2015-08-17,2022-02-22 15:29:00,18,1,48,1,2016-10-26,20,1,"11/8/16",21392.6,1,14555.66418,11939.1289,"",8,2015
"tws","tatu",2015-08-26,2022-02-22 10:44:00,36,1.03,38,2,2016-10-27,20,1,"11/8/16",7839.54,1,5178.712626,5526.590565,"",8,2015
"tws","burn",2015-08-27,2022-02-22 17:10:00,38,1.14,50,2,2016-10-27,20,1,"11/8/16",15705.7,1,9373.912659,8414.679919,"",8,2015
"tws","dame",2015-08-27,2022-02-22 15:22:00,39,0.91,44,2,2016-10-27,20,9,"11/24/16",1920.22,14,1435.747448,1169.091814,"redo, CV's too hi, originally in batch 1, run 1",8,2015
"tws","peke",2015-08-27,2022-02-22 17:47:00,40,0.91,42,2,2016-10-27,20,1,"11/8/16",10607.2,1,7930.997659,6765.52923,"",8,2015
"tws","brog",2015-08-27,2022-02-22 17:10:00,41,1.05,44,2,2016-10-27,20,1,"11/8/16",6021.56,1,3902.00818,3666.119771,"",8,2015
"twn","onyx",2015-08-28,2022-02-22 10:42:00,43,0.65,38,2,2016-10-27,20,1,"11/8/16",18498.8,1,19364.15975,13040.98117,"",8,2015
"tws","brav",2015-09-02,2022-02-22 15:16:00,52,1.29,42,2,2016-10-27,20,1,"11/8/16",5906.94,1,3115.597206,3767.589489,"",9,2015
"tws","atom",2015-09-07,2022-02-22 14:06:00,59,1.6,46,2,2016-10-27,20,1,"11/8/16",52830.3,1,22466.29983,30766.31999,"",9,2015
"gn","ropa",2015-09-08,2022-02-22 12:11:00,68,0.8,38,2,2016-10-27,20,1,"11/8/16",3746.36,1,3186.309638,2641.04754,"",9,2015
"gn","spad",2015-09-10,2022-02-22 10:43:00,71,1.19,48,2,2016-10-27,20,1,"11/8/16",11281.6,1,6450.482367,6296.218157,"",9,2015
"tws","dubl",2015-09-10,2022-02-22 10:50:00,72,2.05,39,2,2016-10-27,20,1,"11/8/16",11742.5,1,3897.401646,8065.77809,"",9,2015
"gn","dext",2015-09-15,2022-02-22 12:00:00,77,0.77,41,2,2016-10-27,20,1,"11/8/16",1374.82,1,1214.852558,898.281162,"",9,2015
"tws","brog",2015-09-16,2022-02-22 14:39:00,79,2.2,51,2,2016-10-27,20,1,"11/8/16",55056.8,1,17027.72946,28919.52112,"",9,2015
"tws","burn",2015-09-28,2022-02-22 09:24:00,93,0.73,38,2,2016-10-27,20,9,"11/24/16",2245.64,14,2093.079537,1583.094523,"redo, CV's too hi, originally in batch 1, run 1",9,2015
"twn","amos",2015-09-29,2022-02-22 11:05:00,99,0.96,43,3,2016-10-28,20,1,"11/8/16",4327.99,1,3067.492235,2696.29931,"",9,2015
"gn","spad",2015-09-29,2022-02-22 14:21:00,100,1.27,54,3,2016-10-28,20,1,"11/8/16",4546.74,1,2435.93029,2255.571861,"",9,2015
"gn","stre",2015-09-30,2022-02-22 08:49:00,105,1.11,47,3,2016-10-28,20,1,"11/8/16",18852.2,1,11555.99955,10745.19962,"",9,2015
"twn","amos",2015-09-30,2022-02-22 12:28:00,106,1.29,52,3,2016-10-28,20,1,"11/8/16",12978.6,1,6845.522367,6686.129925,"",9,2015
"tws","dame",2015-10-01,2022-02-22 11:24:00,113,0.41,37,11,2016-11-04,20,1,"11/8/16",5251.89,1,8715.658816,3802.456065,"",10,2015
"gn","ropa",2015-10-01,2022-02-22 14:52:00,115,0.6,40,11,2016-11-04,20,1,"11/8/16",6681.1,1,7576.439824,4474.435874,"",10,2015
"gn","mayh",2015-10-01,2022-02-22 15:06:00,116,0.56,40,11,2016-11-04,20,1,"11/8/16",13922.6,1,16916.1207,9324.180285,"",10,2015
"gn","pira",2015-10-01,2022-02-22 14:51:00,117,0.88,44,3,2016-10-28,20,1,"11/8/16",6695.01,1,5176.509487,4076.137833,"",10,2015
"tws","atom",2015-10-05,2022-02-22 14:55:00,124,1.59,52,3,2016-10-28,20,1,"11/8/16",26280,1,11245.9641,13538.55535,"",10,2015
"tws","sevi",2015-10-05,2022-02-22 15:51:00,125,0.8,38,3,2016-10-28,20,1,"11/8/16",17775.6,1,15118.29232,12531.15148,"",10,2015
"twn","safi",2015-10-06,2022-02-22 12:13:00,128,1.37,37,3,2016-10-28,20,1,"11/8/16",31491.5,1,15640.16162,22800.3719,"",10,2015
"gn","ropa",2015-10-06,2022-02-22 09:56:00,131,1.06,50,3,2016-10-28,20,1,"11/8/16",21324.3,1,13687.91737,11424.97049,"",10,2015
"gn","mend",2015-10-07,2022-02-22 14:36:00,141,1.11,38,3,2016-10-28,20,1,"11/8/16",19141.5,1,11733.33432,13494.0613,"",10,2015
"gn","ting",2015-10-07,2022-02-22 15:42:00,143,0.95,43,3,2016-10-28,20,1,"11/8/16",29508.2,1,21134.28548,18383.34638,"",10,2015
"gn","dais",2015-10-07,2022-02-22 16:38:00,144,0.88,37,3,2016-10-28,20,1,"11/8/16",2769.48,1,2141.332051,2005.149769,"",10,2015
"tws","atom",2015-10-08,2022-02-22 11:40:00,151,1.03,45,3,2016-10-28,20,1,"11/8/16",24617.5,1,16262.04574,14654.86224,"",10,2015
"gn","stre",2015-10-09,2022-02-22 14:30:00,161,1.12,43,3,2016-10-28,20,1,"11/8/16",19075.4,1,11588.41627,11883.80469,"",10,2015
"tws","sevi",2015-10-12,2022-02-22 14:48:00,162,0.8,49,3,2016-10-28,20,1,"11/8/16",16867.4,1,14345.86083,9221.517007,"",10,2015
"tws","brog",2015-10-13,2022-02-22 12:07:00,165,1.49,48,3,2016-10-28,20,1,"11/8/16",3259.89,1,1488.624402,1819.332241,"",10,2015
"tws","sevi",2015-10-15,2022-02-22 10:55:00,173,0.82,45,4,2016-11-01,20,1,"11/8/16",6047.76,1,5018.213706,3600.247371,"",10,2015
"tws","brog",2015-10-15,2022-02-22 10:46:00,175,1.52,42,4,2016-11-01,20,1,"11/8/16",15572.6,1,6970.854161,9932.581688,"",10,2015
"tws","boyd",2015-10-15,2022-02-22 14:38:00,177,0.92,42,4,2016-11-01,20,1,"11/8/16",9537.7,1,7053.818602,6083.37621,"",10,2015
"gn","ting",2015-10-16,2022-02-22 15:20:00,179,0.72,38,4,2016-11-01,20,1,"11/8/16",8274.29,1,7819.278795,5833.073502,"",10,2015
"tws","fris",2015-11-03,2022-02-22 11:20:00,217,1.28,39,5,2016-11-01,20,1,"11/8/16",5138.33,1,2731.36965,3529.455358,"",11,2015
"gn","renl",2015-11-18,2022-02-22 16:25:00,238,1.84,53,5,2016-11-01,20,1,"11/8/16",73950.9,1,27346.01812,37378.15854,"",11,2015
"gn","mend",2015-11-18,2022-02-22 16:10:00,240,1.74,54,5,2016-11-01,20,1,"11/8/16",84400.6,1,33003.86045,41869.91524,"",11,2015
"tws","tesl",2015-11-19,2022-02-22 11:20:00,241,1.84,53,5,2016-11-01,20,1,"11/8/16",28486.4,1,10533.876,14398.32612,"",11,2015
"tws","blas",2015-11-27,2022-02-22 12:23:00,264,0.76,39,5,2016-11-01,20,9,"11/24/16",21135.2,14,18921.74677,14517.50761,"redo, in singlet, originally in batch 1, run 1",11,2015
"gn","dais",2015-12-04,2022-02-22 12:31:00,275,1.6,37,5,2016-11-01,20,1,"11/8/16",34595.1,14,14711.70691,25047.43013,"",12,2015
"tws","brog",2015-12-04,2022-02-22 11:18:00,277,2.6,40,6,2016-11-02,20,1,"11/8/16",17952.9,1,4698.180741,12023.33445,"",12,2015
"tws","tatu",2015-12-18,2022-02-22 12:42:00,294,2.42,42,6,2016-11-02,20,1,"11/8/16",9399.76,1,2642.833818,5995.394735,"",12,2015
"tws","burn",2015-12-19,2022-02-22 09:30:00,303,2,39,6,2016-11-02,20,2,"11/9/16",26601.7,2,9049.98485,18272.37888,"",12,2015
"gn","stre",2015-12-21,2022-02-22 10:00:00,305,1.32,42,6,2016-11-02,20,2,"11/9/16",73836.3,2,38059.62027,47094.58159,"",12,2015
"twn","petr",2015-12-21,2022-02-22 12:14:00,306,0.98,39,6,2016-11-02,20,2,"11/9/16",11028.4,2,7656.933765,7575.271628,"",12,2015
"twn","allo",2015-12-21,2022-02-22 10:33:00,308,1.48,49,6,2016-11-02,20,2,"11/9/16",36009.7,2,16554.8879,19686.7366,"",12,2015
"tws","brav",2015-12-21,2022-02-22 10:34:00,309,1.18,50,6,2016-11-02,20,2,"11/9/16",12231.2,2,7052.701722,6553.138862,"",12,2015
"tws","brav",2015-12-22,2022-02-22 15:15:00,313,1.72,52,6,2016-11-02,20,2,"11/9/16",12287,2,4860.555067,6329.841307,"",12,2015
"tws","dubl",2015-12-29,2022-02-22 11:50:00,323,2.02,48,6,2016-11-02,20,9,"11/24/16",27618.5,14,9302.874769,15413.78006,"redo, in singlet, originally in batch 2, run 2",12,2015
"tws","dame",2015-12-30,2022-02-22 10:10:00,331,1.82,40,6,2016-11-02,20,2,"11/9/16",20117.7,2,7520.996663,13473.13445,"",12,2015
"tws","blas",2015-12-30,2022-02-22 11:52:00,333,1.58,42,6,2016-11-02,20,2,"11/9/16",32267.9,2,13895.75255,20581.24864,"",12,2015
"tws","tesl",2015-12-30,2022-02-22 10:20:00,334,1.14,38,6,2016-11-02,20,2,"11/9/16",14489.3,2,8647.906982,10214.4295,"",12,2015
"twn","petr",2015-12-31,2022-02-22 11:35:00,344,1.28,37,6,2016-11-02,20,2,"11/9/16",20867.2,2,11092.32703,15108.20127,"",12,2015
"tws","fris",2015-12-31,2022-02-22 10:08:00,346,1.46,38,7,2016-11-03,20,2,"11/9/16",28669.5,2,13360.90018,20210.95475,"",12,2015
"twn","keny",2015-12-31,2022-02-22 15:01:00,348,1.3,40,7,2016-11-03,20,2,"11/9/16",8461.83,2,4428.833976,5667.018262,"",12,2015
"tws","sevi",2016-01-04,2022-02-22 11:37:00,352,1,57,7,2016-11-03,20,2,"11/9/16",44262.8,2,30116.69701,20802.44273,"",1,2016
"tws","dame",2016-01-04,2022-02-22 10:53:00,355,1.02,50,7,2016-11-03,20,2,"11/9/16",17900.3,2,11940.6672,9590.485935,"",1,2016
"tws","boyd",2016-01-04,2022-02-22 11:30:00,358,0.94,41,7,2016-11-03,20,2,"11/9/16",18833.6,2,13632.45099,12305.51497,"",1,2016
"twn","petr",2016-01-05,2022-02-22 09:58:00,360,0.8,45,7,2016-11-03,20,2,"11/9/16",42675.1,2,36295.5195,25404.59883,"",1,2016
"tws","atom",2016-01-05,2022-02-22 11:35:00,361,1.1,47,7,2016-11-03,20,2,"11/9/16",27579.5,2,17059.33744,15719.50398,"",1,2016
"twn","king",2016-01-05,2022-02-22 14:35:00,362,0.76,43,7,2016-11-03,20,2,"11/9/16",34137.2,2,30562.06962,21267.17224,"",1,2016
"tws","dame",2016-01-05,2022-02-22 14:19:00,363,1.12,39,7,2016-11-03,20,2,"11/9/16",7603.54,2,4619.194705,5222.777632,"",1,2016
"gn","dais",2016-01-06,2022-02-22 09:40:00,368,1.16,42,7,2016-11-03,20,2,"11/9/16",57218.1,2,33561.69603,36495.09088,"",1,2016
"twn","ruki",2016-01-06,2022-02-22 15:19:00,371,1,41,7,2016-11-03,20,2,"11/9/16",3354.54,2,2282.450834,2191.792445,"",1,2016
"twn","davi",2016-01-07,2022-02-22 12:01:00,372,0.7,48,7,2016-11-03,20,2,"11/9/16",54418.8,2,52895.57923,30370.92581,"",1,2016
"tws","brog",2016-01-08,2022-02-22 15:58:00,374,0.86,47,7,2016-11-03,20,2,"11/9/16",17499.8,2,13845.32295,9974.371389,"",1,2016
"tws","blas",2016-01-08,2022-02-22 09:58:00,375,1.14,49,7,2016-11-03,20,2,"11/9/16",59506.3,2,35516.20487,32532.48026,"",1,2016
"tws","atom",2016-01-12,2022-02-22 16:14:00,383,1.62,61,7,2016-11-03,20,2,"11/9/16",46924.3,2,19708.39439,20607.16627,"",1,2016
"tws","tesl",2016-01-12,2022-02-22 15:28:00,384,1.22,53,7,2016-11-03,20,2,"11/9/16",25084.7,2,13989.99429,12678.95176,"",1,2016
"twn","kabu",2016-01-13,2022-02-22 08:25:00,385,1,38,7,2016-11-03,20,2,"11/9/16",19538.2,2,13293.91836,13773.72037,"",1,2016
"twn","amos",2016-01-13,2022-02-22 09:37:00,387,1.58,51,7,2016-11-03,20,2,"11/9/16",35324.4,2,15211.99463,18554.74223,"",1,2016
"twn","davi",2016-01-13,2022-02-22 16:22:00,388,1.24,52,7,2016-11-03,20,9,"11/24/16",30131.5,14,16533.60369,15522.71615,"redo, in singlet, originally in batch 2, run 2",1,2016
"tws","tatu",2016-01-14,2022-02-22 10:07:00,389,1.24,46,7,2016-11-03,20,9,"11/24/16",10838.3,14,5947.136946,6311.806027,"redo, in singlet, originally in batch 2, run 2",1,2016
"gn","dext",2016-01-14,2022-02-22 15:06:00,395,0.92,40,7,2016-11-03,20,9,"11/24/16",9939.18,14,7350.742084,6656.422378,"redo, in singlet, originally in batch 2, run 2",1,2016
"gn","mend",2016-01-15,2022-02-22 15:03:00,396,1,44,7,2016-11-03,20,9,"11/24/16",96923.3,14,65947.24372,59010.02836,"redo, in singlet, originally in batch 2, run 2",1,2016
"twn","amos",2016-01-22,2022-02-22 15:04:00,402,1.06,45,7,2016-11-03,20,9,"11/24/16",6259.31,14,4017.806825,3726.18364,"redo, in singlet, originally in batch 2, run 2",1,2016
"twn","allo",2016-01-25,2022-02-22 12:22:00,403,1.3,41,7,2016-11-03,20,9,"11/24/16",10459.4,14,5474.341376,6833.972437,"redo, in singlet, originally in batch 2, run 2",1,2016
"twn","safi",2016-01-25,2022-02-22 11:55:00,404,1.46,50,7,2016-11-03,20,9,"11/24/16",44900.9,14,20925.24959,24056.66106,"redo, in singlet, originally in batch 2, run 2",1,2016
"twn","pam",2016-01-25,2022-02-22 12:12:00,406,1.44,50,7,2016-11-03,20,9,"11/24/16",45725,14,21605.26903,24498.19106,"redo, in singlet, originally in batch 2, run 2",1,2016
"tws","blas",2016-01-25,2022-02-22 11:17:00,413,0.56,37,7,2016-11-03,20,9,"11/24/16",8300.57,14,10085.28896,6009.751296,"redo, in singlet, originally in batch 2, run 2",1,2016
"gn","dais",2016-01-26,2022-02-22 12:35:00,415,2.14,49,7,2016-11-03,20,9,"11/24/16",NA,14,NA,NA,"redo, in singlet, originally in batch 2, run 2",1,2016
"twn","amos",2016-01-26,2022-02-22 10:40:00,419,1.02,40,8,2016-11-03,20,2,"11/9/16",43341,2,28911.27284,29026.1372,"",1,2016
"tws","boyd",2016-01-27,2022-02-22 11:32:00,422,1.32,54,8,2016-11-03,20,2,"11/9/16",53692.7,2,27676.41083,26636.17081,"",1,2016
"gn","dext",2016-01-27,2022-02-22 10:53:00,424,0.6,40,8,2016-11-03,20,2,"11/9/16",16811,2,19063.85623,11258.58638,"",1,2016
"tws","brog",2016-01-27,2022-02-22 08:30:00,425,1.36,42,8,2016-11-03,20,2,"11/9/16",47083.5,2,23555.82326,30030.99739,"",1,2016
"twn","king",2016-01-27,2022-02-22 08:16:00,426,0.98,46,8,2016-11-03,20,2,"11/9/16",36480.8,2,25328.3404,21245.0046,"",1,2016
"gn","mayh",2016-01-27,2022-02-22 12:03:00,427,0.94,48,8,2016-11-03,20,2,"11/9/16",13803.6,2,9991.552361,7703.736789,"",1,2016
"tws","burn",2016-01-27,2022-02-22 14:50:00,428,1.26,58,8,2016-11-03,20,9,"11/24/16",47857.9,14,25843.51304,22104.25855,"redo, in singlet, originally in batch 2, run 2",1,2016
"gn","stel",2016-02-01,2022-02-22 13:40:00,433,1.1,47,8,2016-11-03,20,2,"11/9/16",21607,2,13365.03939,12315.35461,"",2,2016
"tws","tatu",2016-02-01,2022-02-22 12:48:00,437,1.78,58,8,2016-11-03,20,2,"11/9/16",33661.6,2,12867.17504,15547.37482,"",2,2016
"tws","tesl",2016-02-01,2022-02-22 12:14:00,438,0.72,39,8,2016-11-03,20,2,"11/9/16",13460.1,2,12719.91609,9245.576298,"",2,2016
"gn","mend",2016-02-02,2022-02-22 12:37:00,439,1.1,39,8,2016-11-03,20,2,"11/9/16",10965.7,2,6782.848729,7532.203773,"",2,2016
"tws","brog",2016-02-02,2022-02-22 12:04:00,440,1.98,58,8,2016-11-03,20,3,"11/16/16",47155.3,3,16204.43072,21779.74678,"",2,2016
"tws","peke",2016-02-02,2022-02-22 10:20:00,442,1.08,42,8,2016-11-03,20,3,"11/16/16",17552.7,3,11058.30671,11195.53746,"",2,2016
"gn","stel",2016-02-02,2022-02-22 08:46:00,443,0.74,39,8,2016-11-03,20,3,"11/16/16",3675.06,3,3379.100982,2524.353283,"",2,2016
"tws","dame",2016-02-03,2022-02-22 10:35:00,445,1.24,41,8,2016-11-03,20,3,"11/16/16",6193.23,3,3398.31772,4046.53834,"",2,2016
"tws","bong",2016-02-03,2022-02-22 10:00:00,446,0.74,45,8,2016-11-03,20,3,"11/16/16",7453.45,3,6853.210619,4437.058311,"",2,2016
"tws","brav",2016-02-03,2022-02-22 11:20:00,447,1.18,47,8,2016-11-03,20,3,"11/16/16",10390.5,3,5991.325238,5922.27945,"",2,2016
"twn","safi",2016-02-03,2022-02-22 14:20:00,450,0.88,42,8,2016-11-03,20,3,"11/16/16",2255.82,3,1744.175682,1438.816667,"",2,2016
"gn","renl",2016-02-05,2022-02-22 11:25:00,452,0.5,37,8,2016-11-03,20,3,"11/16/16",20506.1,3,27904.96763,14846.75884,"",2,2016
"gn","dean",2016-02-05,2022-02-22 14:22:00,455,0.9,37,8,2016-11-03,20,3,"11/16/16",8757.25,3,6620.544286,6340.395243,"",2,2016
"tws","atom",2016-02-08,2022-02-22 10:27:00,457,1.12,41,8,2016-11-03,20,3,"11/16/16",18366,3,11157.45166,11999.99405,"",2,2016
"tws","sevi",2016-02-08,2022-02-22 10:04:00,458,0.96,41,8,2016-11-03,20,3,"11/16/16",22342.9,3,15835.68175,14598.42465,"",2,2016
"tws","blas",2016-02-08,2022-02-22 11:34:00,459,1,44,8,2016-11-03,20,3,"11/16/16",25714.1,3,17496.04089,15655.57271,"",2,2016
"twn","kabu",2016-02-09,2022-02-22 12:50:00,461,0.86,40,8,2016-11-03,20,3,"11/16/16",40664.9,3,32172.86331,27233.91169,"",2,2016
"tws","tatu",2016-02-09,2022-02-22 11:20:00,462,1.34,46,8,2016-11-03,20,3,"11/16/16",9132.88,3,4637.366383,5318.63549,"",2,2016
"tws","atom",2016-02-10,2022-02-22 09:56:00,471,1.36,43,8,2016-11-03,20,3,"11/16/16",17093.6,3,8551.909278,10649.1609,"",2,2016
"gn","dais",2016-02-10,2022-02-22 16:20:00,473,0.82,41,8,2016-11-03,20,3,"11/16/16",12828.7,3,10644.7938,8382.02786,"",2,2016
"gn","ting",2016-02-11,2022-02-22 11:10:00,474,0.9,37,8,2016-11-03,20,3,"11/16/16",10199.7,3,7711.046911,7384.753131,"",2,2016
"gn","mend",2016-02-11,2022-02-22 11:30:00,475,1.06,45,8,2016-11-03,20,3,"11/16/16",32231.7,3,20689.3003,19187.61545,"",2,2016
"gn","mole",2016-02-11,2022-02-22 11:45:00,476,0.76,40,8,2016-11-03,20,3,"11/16/16",27430.3,3,24557.57175,18370.49563,"",2,2016
"twn","allo",2016-02-15,2022-02-22 11:19:00,479,0.8,42,8,2016-11-03,20,3,"11/16/16",10953.2,3,9315.78565,6986.216415,"",2,2016
"tws","tesl",2016-02-15,2022-02-22 15:40:00,480,0.96,45,8,2016-11-03,20,3,"11/16/16",17564.2,3,12448.74575,10456.01427,"",2,2016
"tws","fris",2016-02-15,2022-02-22 14:24:00,481,1.26,50,8,2016-11-03,20,3,"11/16/16",3068.03,3,1656.752037,1643.765667,"",2,2016
"tws","brav",2016-02-15,2022-02-22 16:20:00,483,0.98,46,8,2016-11-03,20,3,"11/16/16",14659.4,3,10177.90929,8537.066631,"",2,2016
"tws","brog",2016-02-15,2022-02-22 15:07:00,484,1.1,43,8,2016-11-03,20,3,"11/16/16",7056.43,3,4364.764425,4396.093184,"",2,2016
"twn","kabu",2016-02-16,2022-02-22 12:08:00,488,0.56,40,9,2016-11-04,20,3,"11/16/16",8679.44,3,10545.62041,5812.755041,"",2,2016
"twn","onyx",2016-02-16,2022-02-22 11:30:00,489,0.74,48,9,2016-11-04,20,3,"11/16/16",17642.9,3,16222.08637,9846.435552,"",2,2016
"twn","pam",2016-02-16,2022-02-22 14:40:00,491,0.98,49,9,2016-11-04,20,3,"11/16/16",11454.6,3,7952.841165,6262.304131,"",2,2016
"gn","spor",2016-02-16,2022-02-22 15:20:00,493,0.9,55,9,2016-11-04,20,3,"11/16/16",4455.93,3,3368.715282,2170.33102,"",2,2016
"twn","davi",2016-02-18,2022-02-22 09:24:00,504,0.54,37,9,2016-11-04,20,3,"11/16/16",4267.84,3,5377.529804,3089.987431,"",2,2016
"tws","bike",2016-02-19,2022-02-22 13:00:00,510,1.28,40,9,2016-11-04,20,3,"11/16/16",53596.9,3,28490.3745,35894.67185,"",2,2016
"gn","spor",2016-02-22,2022-02-22 15:05:00,515,0.9,44,9,2016-11-04,20,3,"11/16/16",21442.1,3,16210.38256,13054.64144,"",2,2016
"twn","onyx",2016-02-24,2022-02-22 15:00:00,519,0.88,51,9,2016-11-04,20,3,"11/16/16",43239.8,3,33432.54677,22712.44078,"",2,2016
"tws","peke",2016-03-11,2022-02-22 15:45:00,528,0.88,39,9,2016-11-04,20,3,"11/16/16",38085.1,3,29446.98835,26160.18439,"",3,2016
"gn","dext",2016-03-11,2022-02-22 16:11:00,534,0.92,38,9,2016-11-04,20,3,"11/16/16",24278,3,17955.33598,17115.10697,"",3,2016
"tws","boyd",2015-08-05,2022-02-22 14:36:00,2,0.72,35,1,2016-10-26,10,3,"11/16/16",3981.93,3,3762.95982,3047.725749,"",8,2015
"gn","spad",2015-08-12,2022-02-22 11:56:00,9,0.7,29,1,2016-10-26,10,3,"11/16/16",1833.82,3,1782.490079,1693.982871,"",8,2015
"twn","allo",2015-08-12,2022-02-22 14:50:00,10,0.97,32,1,2016-10-26,10,3,"11/16/16",7398.05,3,5189.362204,6193.235455,"",8,2015
"gn","mole",2015-08-12,2022-02-22 15:40:00,11,0.52,29,1,2016-10-26,10,3,"11/16/16",1626.88,3,2128.730256,1502.822989,"",8,2015
"gn","dann",2015-08-13,2022-02-22 10:29:00,12,0.56,36,1,2016-10-26,10,3,"11/16/16",2153.18,3,2616.138708,1602.242118,"",8,2015
"gn","ropa",2015-08-13,2022-02-22 10:25:00,13,0.8,32,1,2016-10-26,10,3,"11/16/16",4400.5,3,3742.661026,3683.853532,"",8,2015
"gn","spad",2015-08-13,2022-02-22 14:18:00,16,0.76,24,1,2016-10-26,10,3,"11/16/16",3574.2,3,3199.880167,3989.494919,"",8,2015
"tws","burn",2015-08-14,2022-02-22 10:59:00,17,1.07,32,1,2016-10-26,10,3,"11/16/16",7653.96,3,4867.106697,6407.469055,"",8,2015
"gn","mend",2015-08-18,2022-02-22 11:36:00,19,0.86,31,1,2016-10-26,10,3,"11/16/16",6680.14,3,5285.128726,5772.636061,"",8,2015
"tws","dubl",2015-08-18,2022-02-22 14:40:00,20,0.96,28,1,2016-10-26,10,3,"11/16/16",2131.58,3,1510.771767,2039.360075,"",8,2015
"twn","petr",2015-08-19,2022-02-22 15:20:00,21,0.56,24,1,2016-10-26,10,3,"11/16/16",2875.32,3,3493.547195,3209.410366,"",8,2015
"gn","renl",2015-08-21,2022-02-22 10:17:00,25,0.54,28,1,2016-10-26,10,3,"11/16/16",1892.11,3,2384.08139,1810.250421,"",8,2015
